Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ignas Brazdeikis,SF,22,TOT,13,0,249,5.1,12.0,1.4,2.0,1.6,4.0,3.5,8.0,1.6,4.9,6.5,2.5,0.6,0.4,1.7,3.2,13.2
Ignas Brazdeikis,SF,22,NYK,4,0,7,0.0,5.1,10.3,10.3,0.0,0.0,0.0,5.1,5.1,5.1,10.3,5.1,0.0,0.0,5.1,0.0,10.3
Ignas Brazdeikis,SF,22,PHI,1,0,8,0.0,13.5,0.0,0.0,0.0,4.5,0.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Ignas Brazdeikis,SF,22,ORL,8,0,234,5.4,12.2,1.2,1.8,1.7,4.2,3.7,8.0,1.5,4.8,6.3,2.5,0.6,0.5,1.7,3.4,13.7
Mikal Bridges,SF,24,PHO,72,72,2348,5.6,10.3,1.7,2.0,2.1,4.8,3.5,5.4,1.2,3.6,4.7,2.3,1.2,1.0,0.9,1.8,14.9
Miles Bridges,PF,22,CHO,66,19,1932,5.8,11.6,1.8,2.1,2.2,5.4,3.7,6.2,1.5,5.9,7.4,2.7,0.8,1.0,2.0,2.7,15.7
Amida Brimah,C,26,IND,5,0,29,6.2,9.9,3.7,3.7,0.0,0.0,6.2,9.9,2.5,7.4,9.9,1.2,0.0,6.2,5.0,5.0,16.1
Oshae Brissett,SF,22,IND,21,16,519,5.1,10.5,3.5,4.5,2.3,5.4,2.8,5.1,2.0,6.0,8.0,1.2,1.3,1.4,0.7,2.2,15.9
Malcolm Brogdon,PG,28,IND,56,56,1930,8.3,18.3,2.9,3.3,2.7,7.0,5.6,11.3,1.1,4.4,5.5,6.1,0.9,0.3,2.1,2.1,22.1
Armoni Brooks,SG,22,HOU,20,5,520,5.4,13.3,0.5,0.8,4.2,10.9,1.2,2.4,0.7,4.0,4.7,2.1,0.8,0.3,1.5,2.4,15.4
Dillon Brooks,SF,25,MEM,67,67,1997,7.8,18.6,2.9,3.5,2.3,6.7,5.5,11.9,1.0,2.6,3.5,2.8,1.4,0.5,2.1,4.3,20.7
Bruce Brown,PG,24,BRK,65,37,1451,5.8,10.5,2.1,2.9,0.4,1.5,5.4,9.0,2.8,5.9,8.7,2.6,1.4,0.7,1.3,3.6,14.2
Charlie Brown,SG,23,OKC,9,1,152,3.1,10.2,2.1,2.4,1.2,5.0,1.9,5.2,0.7,3.3,4.0,2.1,0.9,0.5,1.4,4.5,9.5
Jaylen Brown,SG,24,BOS,58,58,1999,9.7,20.0,3.4,4.5,2.9,7.4,6.8,12.6,1.3,5.0,6.2,3.5,1.3,0.6,2.8,3.0,25.8
Moses Brown,C,21,OKC,43,32,920,5.7,10.5,3.1,4.9,0.0,0.0,5.7,10.5,6.0,9.0,15.0,0.4,1.2,1.8,1.7,3.6,14.5
