id,full_name,Year_Drafted,Overall_Pick,Round,Drafted_by
203500,Steven Adams,2013.0,12.0,1.0,Oklahoma City Thunder
1628389,Bam Adebayo,2017.0,14.0,1.0,Miami Heat
200746,LaMarcus Aldridge,2006.0,2.0,1.0,Chicago Bulls
1629638,Nickeil Alexander-Walker,2019.0,17.0,1.0,Brooklyn Nets
1628960,Grayson Allen,2018.0,21.0,1.0,Utah Jazz
1628386,Jarrett Allen,2017.0,22.0,1.0,Brooklyn Nets
1628443,Kadeem Allen,2017.0,53.0,2.0,Boston Celtics
202329,Al-Farouq Aminu,2010.0,8.0,1.0,Los Angeles Clippers
1626147,Justin Anderson,2015.0,21.0,1.0,Dallas Mavericks
203937,Kyle Anderson,2014.0,30.0,1.0,San Antonio Spurs
201583,Ryan Anderson,2008.0,21.0,1.0,New Jersey Nets
203507,Giannis Antetokounmpo,2013.0,15.0,1.0,Milwaukee Bucks
1628961,Kostas Antetokounmpo,2018.0,60.0,2.0,Philadelphia 76ers
203648,Thanasis Antetokounmpo,2014.0,51.0,2.0,New York Knicks
2546,Carmelo Anthony,2003.0,3.0,1.0,Denver Nuggets
1628384,OG Anunoby,2017.0,23.0,1.0,Toronto Raptors
2772,Trevor Ariza,2004.0,43.0,2.0,New York Knicks
201571,D.J. Augustin,2008.0,9.0,1.0,Charlotte Bobcats
1629028,Deandre Ayton,2018.0,1.0,1.0,Phoenix Suns
1628407,Dwayne Bacon,2017.0,40.0,2.0,New Orleans Pelicans
1628963,Marvin Bagley III,2018.0,2.0,1.0,Sacramento Kings
1628366,Lonzo Ball,2017.0,2.0,1.0,Los Angeles Lakers
1628964,Mo Bamba,2018.0,6.0,1.0,Orlando Magic
203084,Harrison Barnes,2012.0,7.0,1.0,Golden State Warriors
1629628,RJ Barrett,2019.0,3.0,1.0,New York Knicks
203115,Will Barton,2012.0,40.0,2.0,Portland Trail Blazers
1628966,Keita Bates-Diop,2018.0,48.0,2.0,Minnesota Timberwolves
201587,Nicolas Batum,2008.0,25.0,1.0,Houston Rockets
1629647,Darius Bazley,2019.0,23.0,1.0,Utah Jazz
203078,Bradley Beal,2012.0,3.0,1.0,Washington Wizards
1627736,Malik Beasley,2016.0,19.0,1.0,Denver Nuggets
201158,Marco Belinelli,2007.0,18.0,1.0,Golden State Warriors
1628395,Jordan Bell,2017.0,38.0,2.0,Chicago Bulls
1627761,DeAndre' Bembry,2016.0,21.0,1.0,Atlanta Hawks
1627733,Dragan Bender,2016.0,4.0,1.0,Phoenix Suns
202722,Davis Bertans,2011.0,42.0,2.0,Indiana Pacers
201976,Patrick Beverley,2009.0,42.0,2.0,Los Angeles Lakers
1629048,Goga Bitadze,2019.0,18.0,1.0,Indiana Pacers
202687,Bismack Biyombo,2011.0,7.0,1.0,Sacramento Kings
202357,Nemanja Bjelica,2010.0,35.0,2.0,Washington Wizards
202339,Eric Bledsoe,2010.0,18.0,1.0,Oklahoma City Thunder
203992,Bogdan Bogdanovic,2014.0,27.0,1.0,Phoenix Suns
202711,Bojan Bogdanovic,2011.0,31.0,2.0,Miami Heat
1629626,Bol Bol,2019.0,44.0,2.0,Miami Heat
1628413,Jonah Bolden,2017.0,36.0,2.0,Philadelphia 76ers
1629648,Jordan Bone,2019.0,57.0,2.0,New Orleans Pelicans
1629067,Isaac Bonga,2018.0,39.0,2.0,Philadelphia 76ers
1626164,Devin Booker,2015.0,13.0,1.0,Phoenix Suns
202340,Avery Bradley,2010.0,19.0,1.0,Boston Celtics
1628396,Tony Bradley,2017.0,28.0,1.0,Los Angeles Lakers
1629714,Jarrell Brantley,2019.0,50.0,2.0,Indiana Pacers
1629649,Ignas Brazdeikis,2019.0,47.0,2.0,Sacramento Kings
1628969,Mikal Bridges,2018.0,10.0,1.0,Philadelphia 76ers
1628970,Miles Bridges,2018.0,12.0,1.0,LA Clippers
1627763,Malcolm Brogdon,2016.0,36.0,2.0,Milwaukee Bucks
1628415,Dillon Brooks,2017.0,45.0,2.0,Houston Rockets
1628971,Bruce Brown,2018.0,42.0,2.0,Detroit Pistons
1627759,Jaylen Brown,2016.0,3.0,1.0,Boston Celtics
